player,team,salary,name_clean
CJ McCollum,ATL,30666666.0,cj mccollum
Jalen Johnson,ATL,30000000.0,jalen johnson
Jonathan Kuminga,ATL,23799569.0,jonathan kuminga
Nickeil Alexander-Walker,ATL,15161800.0,nickeil alexander-walker
Onyeka Okongwu,ATL,15000000.0,onyeka okongwu
Corey Kispert,ATL,13975000.0,corey kispert
Zaccharie Risacher,ATL,13197720.0,zaccharie risacher
Gabe Vincent,ATL,11500000.0,gabe vincent
Buddy Hield,ATL,9219512.0,buddy hield
Dyson Daniels,ATL,7707709.0,dyson daniels
Asa Newell,ATL,3237480.0,asa newell
Keaton Wallace,ATL,2296274.0,keaton wallace
Jock Landale,ATL,2296274.0,jock landale
Mouhamed Gueye,ATL,2221677.0,mouhamed gueye
Duop Reath,ATL,2221677.0,duop reath
N'Faly Dante,ATL,2048494.0,nfaly dante
Nikola Djurisic,ATL,1272870.0,nikola djurisic
Caleb Houstan,ATL,699440.0,caleb houstan
Tony Bradley,ATL,92379.0,tony bradley
Jayson Tatum,BOS,54126450.0,jayson tatum
Jaylen Brown,BOS,53142264.0,jaylen brown
Derrick White,BOS,28100000.0,derrick white
Nikola Vučević,BOS,21481481.0,nikola vucevic
Sam Hauser,BOS,10044644.0,sam hauser
Payton Pritchard,BOS,7232143.0,payton pritchard
Hugo González Peña,BOS,2783880.0,hugo gonzalez pena
Baylor Scheierman,BOS,2619000.0,baylor scheierman
Luka Garza,BOS,2461463.0,luka garza
Neemias Queta,BOS,2349578.0,neemias queta
JD Davison,BOS,2270735.0,jd davison
Jordan Walsh,BOS,2221677.0,jordan walsh
Amari Williams,BOS,490128.0,amari williams
Max Shulga,BOS,212145.0,max shulga
Charles Bassey,BOS,131970.0,charles bassey
Dalano Banton,BOS,131970.0,dalano banton
Ron Harper,BOS,123045.0,ron harper
John Tonje,BOS,73153.0,john tonje
Michael Porter,BRK,38333050.0,michael porter
Nic Claxton,BRK,25352272.0,nic claxton
Terance Mann,BRK,15500000.0,terance mann
Egor Dёmin,BRK,6889200.0,egor dmin
Ochai Agbaji,BRK,6383525.0,ochai agbaji
Ziaire Williams,BRK,6250000.0,ziaire williams
Day'Ron Sharpe,BRK,6250000.0,dayron sharpe
Cam Thomas,BRK,5993172.0,cam thomas
Haywood Highsmith,BRK,5616000.0,haywood highsmith
Kobe Bufkin,BRK,4503720.0,kobe bufkin
Nolan Traoré,BRK,3811560.0,nolan traore
Noah Clowney,BRK,3398640.0,noah clowney
Drake Powell,BRK,3372240.0,drake powell
Dariq Whitehead,BRK,3262560.0,dariq whitehead
Ben Saraf,BRK,2884560.0,ben saraf
Danny Wolf,BRK,2801280.0,danny wolf
Josh Minott,BRK,2378870.0,josh minott
Keon Johnson,BRK,2349578.0,keon johnson
Jalen Wilson,BRK,2221677.0,jalen wilson
Hunter Tyson,BRK,2221677.0,hunter tyson
Tyrese Martin,BRK,2191897.0,tyrese martin
Drew Timme,BRK,1955377.0,drew timme
Tre Scott,BRK,117730.0,tre scott
David Muoka,BRK,85300.0,david muoka
Dre Davis,BRK,85300.0,dre davis
Yuri Collins,BRK,85300.0,yuri collins
Malachi Smith,BRK,73153.0,malachi smith
Grant Nelson,BRK,73153.0,grant nelson
Terry Roberts,BRK,25000.0,terry roberts
LaMelo Ball,CHO,37958760.0,lamelo ball
Miles Bridges,CHO,25000000.0,miles bridges
Josh Green,CHO,13666667.0,josh green
Grant Williams,CHO,13645500.0,grant williams
Coby White,CHO,12888889.0,coby white
Brandon Miller,CHO,11968800.0,brandon miller
Mike Conley,CHO,10774038.0,mike conley
Kon Knueppel,CHO,10015680.0,kon knueppel
Pat Connaughton,CHO,9423869.0,pat connaughton
Tre Mann,CHO,8000000.0,tre mann
Tidjane Salaün,CHO,7863240.0,tidjane salaun
Malaki Branham,CHO,4962033.0,malaki branham
Liam McNeeley,CHO,2763960.0,liam mcneeley
Nick Smith,CHO,2710680.0,nick smith
Xavier Tillman,CHO,2546675.0,xavier tillman
Ryan Kalkbrenner,CHO,2296274.0,ryan kalkbrenner
Sion James,CHO,2296274.0,sion james
Moussa Diabaté,CHO,2270735.0,moussa diabate
Anfernee Simons,CHI,27678571.0,anfernee simons
Josh Giddey,CHI,25000000.0,josh giddey
Collin Sexton,CHI,18975000.0,collin sexton
